source,title,url,category,dotw,year,month,day,words,links,imgs,tweet_time,retweets,local_tweet_time,offset_hours
infosthetics,"Coexist from The XX: Mapping Viral Marketing as a Way of Viral Marketing",http://infosthetics.com/archives/2012/09/coexist_from_the_xx_mapping_viral_marketing_as_a_way_of_viral_marketing.html,locative,Wednesday,2012,09,05,75,3,1,2012-09-05 17:58:19 UTC,0,2012-09-05 19:58:19 +0200,2
infosthetics,"The Forest of Advocacy: Visualizations of Big Data Regarding Politics",http://infosthetics.com/archives/2012/09/the_forest_of_advocacy_visualizations_of_big_data_regarding_politics.html,collection,Monday,2012,09,10,167,1,1,,,,
infosthetics,"Wikipedia and Gender: Comparing Female vs. Male Number of Editors",http://infosthetics.com/archives/2012/09/wikipedia_and_gender.html,collection,Tuesday,2012,09,11,101,1,1,,,,
infosthetics,"Open Data Cooking: Data Visualization that You Can Eat",http://infosthetics.com/archives/2012/09/open_data_cooking_workshop_data_visualization_that_you_can_eat.html,aesthetic,Wednesday,2012,09,19,166,5,1,2012-09-19 19:26:49 UTC,6,2012-09-19 21:26:49 +0200,2
infosthetics,"His And Hers Colors: Popular Color Names By Gender Preference",http://infosthetics.com/archives/2012/09/his_and_hers_colors_popular_color_names_by_gender_preference.html,aesthetic,Wednesday,2012,09,19,135,7,1,2012-09-19 19:55:16 UTC,4,2012-09-19 21:55:16 +0200,2
infosthetics,"Close Votes: How Similar do Dutch Cities Vote?",http://infosthetics.com/archives/2012/09/close_votes_how_similar_do_dutch_cities_vote.html,collection,Monday,2012,09,24,127,2,1,2012-09-24 18:01:14 UTC,1,2012-09-24 20:01:14 +0200,2
infosthetics,"The Water We Eat: Scroll-Down Infographic Story on Water Usage",http://infosthetics.com/archives/2012/09/the_water_we_eat_scroll_down_infographic_story_on_water_usage.html,infographic,Tuesday,2012,09,25,82,5,1,2012-09-26 08:24:25 UTC,2,2012-09-26 10:24:25 +0200,2
infosthetics,"Handsome Atlas: Beautiful Data Visualizations from the 19th Century",http://infosthetics.com/archives/2012/09/handsome_atlas_beautiful_data_visualizations_from_the_19th_century.html,infographic,Friday,2012,09,28,173,11,1,2012-09-28 19:56:49 UTC,7,2012-09-28 21:56:49 +0200,2
infosthetics,"Who are the Inhabitants of Rennes Métropolis?",http://infosthetics.com/archives/2012/10/who_are_the_inhabitants_of_rennes_metropolis.html,infographic,Monday,2012,10,01,132,2,1,2012-10-01 19:32:23 UTC,2,2012-10-01 21:32:23 +0200,2
infosthetics,"Lostalgic: Revealing the Networked Narrative of 'Lost'",http://infosthetics.com/archives/2012/10/lostalgic_revealing_the_networked_narrative_of_lost.html,collection,Tuesday,2012,10,02,183,6,1,2012-10-02 18:57:33 UTC,5,2012-10-02 20:57:33 +0200,2
infosthetics,"Comparing Energy Efficiency in the San Gabriel Valley",http://infosthetics.com/archives/2012/10/comparing_energy_efficiency_in_the_san_gabriel_valley.html,collection,Wednesday,2012,10,03,186,7,1,2012-10-03 19:09:22 UTC,1,2012-10-03 21:09:22 +0200,2
infosthetics,"State of the Polar Bear: Making Polar Bear Issues Visible through Data",http://infosthetics.com/archives/2012/10/state_of_the_polar_bear_making_polar_bear_issues_visible_through_data.html,collection,Tuesday,2012,10,09,151,3,1,2012-10-09 19:18:29 UTC,2,2012-10-09 21:18:29 +0200,2
infosthetics,"Conflict History: All Human Conflicts on a Single Map",http://infosthetics.com/archives/2012/10/conflict_history_all_human_conflicts_on_a_single_map.html,collection,Thursday,2012,10,11,151,10,1,2012-10-11 19:57:46 UTC,5,2012-10-11 21:57:46 +0200,2
